지번주소,도로명주소,사업장명,좌표정보(X),좌표정보(Y)
서울특별시 강남구 청담동 20-7 ,서울특별시 강남구 선릉로146길 29 지하2층 (청담동),훈,203662.2767,446632.467
서울특별시 강남구 신사동 653-12번지 ,서울특별시 강남구 도산대로49길 10-3 지하1층지상1층 (신사동),로지,203261.244,446841.848
서울특별시 강남구 청담동 20-2번지 ,서울특별시 강남구 선릉로146길 27-10 지하1층 (청담동),쇼쿠도카이,203674.1543,446687.4328
서울특별시 강남구 논현동 164-11번지 지상2층  동 ,서울특별시 강남구 강남대로 506 동 (논현동지상2층),히까리 논현점,202008.5127,445032.3374
서울특별시 강남구 신사동 642-28번지 ,서울특별시 강남구 압구정로48길 38 1층 (신사동),나미나미,203188.3067,447080.584
서울특별시 강남구 청담동 88-8 1층,서울특별시 강남구 도산대로55길 16 (청담동1층),베베르(Be Ber),203511.4942,446915.6254
서울특별시 강남구 청담동 7-27번지 ,서울특별시 강남구 삼성로147길 8 1층 101호 (청담동),스기타마,204128.0173,446691.2741
서울특별시 강남구 청담동 123-44 ,서울특별시 강남구 압구정로79길 35 (청담동),청담이상 본점,204360.3736,447025.1144
서울특별시 강남구 역삼동 830-32번지 ,서울특별시 강남구 역삼로3길 14 지하1층 (역삼동),강남 시소,202718.3526,443585.7543
서울특별시 강남구 삼성동 149-31번지 ,서울특별시 강남구 봉은사로84길 34 지상1 2층 (삼성동),이자카야 한잔 삼성본점,204896.709,445440.2018
서울특별시 강남구 수서동 724 로즈데일오피스텔 ,서울특별시 강남구 광평로 280 로즈데일오피스텔 지하2층 124호 (수서동),육대장,209052.0725,442797.1382
서울특별시 강남구 신사동 612-2 ,서울특별시 강남구 언주로167길 46 지상1층 1호 (신사동),완강정,202529.8398,447153.0482
서울특별시 강남구 신사동 577-12번지 ,서울특별시 강남구 압구정로28길 18 (신사동),목로,202367.6724,447026.6602
서울특별시 강남구 논현동 163-17 상당빌딩 ,서울특별시 강남구 강남대로122길 15 상당빌딩 지상2층 (논현동),이자카야 소영,202066.6944,445103.8044
서울특별시 강남구 대치동 507 윈플러스상가 ,서울특별시 강남구 남부순환로 2936 윈플러스상가 지상1층 104호 (대치동),동경에서 먹었던 규동,205405.125,443463.355
서울특별시 강남구 역삼동 740-2번지 세하빌딩1층 ,서울특별시 강남구 논현로85길 35 (역삼동세하빌딩1층),더 간사이,203048.9096,444005.563
서울특별시 강남구 역삼동 817-8번지 ,서울특별시 강남구 테헤란로1길 28-1 (역삼동),야다이,202375.655,444236.1193
서울특별시 강남구 역삼동 832-33 성우스타우스오피스텔,서울특별시 강남구 역삼로4길 16 성우스타우스오피스텔 지상1층 112호 (역삼동),토리니쿠,202762.269,443356.7877
서울특별시 강남구 압구정동 369-1번지 ,서울특별시 강남구 압구정로29길 71 지상1층 104105호 (압구정동 현대상가 2동),춘풍월,202398.5944,447864.7637
서울특별시 강남구 역삼동 669-16번지 ,서울특별시 강남구 논현로94길 11 지하1층 (역삼동),아리네술상,203220.4408,444486.772
서울특별시 강남구 역삼동 788-32번지 ,서울특별시 강남구 도곡로 209 1층 (역삼동),이자카야 겸,203626.4679,443422.8684
서울특별시 강남구 역삼동 831-3 지하1층 ,서울특별시 강남구 강남대로78길 8 지하1층 (역삼동 한국빌딩),이자카야나무(강남역2호점),202589.1316,443620.7611
서울특별시 강남구 신사동 657-32번지 ,서울특별시 강남구 도산대로51길 40 지상3층 302호 (신사동),겜지노,203315.2613,447057.3622
서울특별시 강남구 논현동 148-17,서울특별시 강남구 학동로20길 46 지상1층 (논현동),아리,202351.7588,445390.6007
서울특별시 강남구 역삼동 642-1번지 역삼현대벤쳐텔 ,서울특별시 강남구 테헤란로25길 20 역삼현대벤쳐텔 지하1층 B102호 (역삼동),갓포돈,203081.1617,444381.1011
서울특별시 강남구 대치동 945-15번지 지상1층 101호,서울특별시 강남구 테헤란로98길 16 지상1층 101호 (대치동),남오토코 대치점,205448.6868,445003.8099
서울특별시 강남구 신사동 533-14번지 지하1층 ,서울특별시 강남구 압구정로12길 34-4 지하1층 (신사동),료하나,201915.2111,446608.1652
서울특별시 강남구 청담동 126-5 지상2층 ,서울특별시 강남구 도산대로89길 18 (청담동지상2층),오다,204448.9852,447052.1862
서울특별시 강남구 삼성동 128-23 원혜빌딩 ,서울특별시 강남구 삼성로 519 원혜빌딩 지상2층 (삼성동),청담이상블랙 삼성로점,204826.7617,445130.7378
서울특별시 강남구 논현동 249-6번지 지하1층101호 ,서울특별시 강남구 언주로 626 (논현동지하1층101호),나리스시 논현본점,203118.6237,445597.2916
서울특별시 강남구 대치동 901-38 1층 ,서울특별시 강남구 삼성로81길 37 1층 (대치동),오레노카츠,204761.3801,444609.7597
서울특별시 강남구 역삼동 699-1번지 ,서울특별시 강남구 언주로98길 5-4 지상1층 (역삼동),야신,203687.3323,444788.7731
서울특별시 강남구 신사동 559-9번지 ,서울특별시 강남구 도산대로23길 19 지상 1층 (신사동),사일삼 프로젝트 신사,202221.5506,446447.0938
서울특별시 강남구 역삼동 825-20번지 강남역 센트럴 푸르지오 시티 ,서울특별시 강남구 테헤란로4길 6 강남역 센트럴 푸르지오 시티 1층 124호 (역삼동),723핫도그앤커피 강남본점,202520.9722,443946.8329
서울특별시 강남구 신사동 654-14번지 지상1층 ,서울특별시 강남구 도산대로51길 18 (신사동지상1층),이자카야 인 뉴욕,203290.1948,446897.6263
서울특별시 강남구 도곡동 941-1번지 크리스탈빌딩2층201호 ,서울특별시 강남구 도곡로 128 (도곡동크리스탈빌딩2층201호),기소야,202971.5694,443096.3954
서울특별시 강남구 삼성동 159 ,서울특별시 강남구 영동대로 517 아셈회관동 지하1층 P107호 (삼성동 코엑스몰),피에프창 코엑스몰점,205130.5917,445590.0968
서울특별시 강남구 신사동 657-32,서울특별시 강남구 도산대로51길 40 지하1층 (신사동),풍,203315.2613,447057.3622
서울특별시 강남구 역삼동 738-4번지 ,서울특별시 강남구 논현로85길 5-6 지하1층 (역삼동),오직화제육,203195.5044,444061.0027
서울특별시 강남구 역삼동 730-5번지 ,서울특별시 강남구 언주로 405 지상103호 (역삼동),남와집,203814.1273,444111.9
서울특별시 강남구 역삼동 799번지 서경빌딩 ,서울특별시 강남구 도곡로13길 6 서경빌딩 지하1층 (역삼동),노블,203179.2584,443266.0495
서울특별시 강남구 논현동 163-17 상당빌딩 ,서울특별시 강남구 강남대로122길 15 상당빌딩 지상2층 (논현동),이자카야 소영,202066.6944,445103.8044
서울특별시 강남구 역삼동 736-58 대세빌딩 ,서울특별시 강남구 테헤란로26길 14 대세빌딩 지하2층 101호 (역삼동),역삼골목냉면,203107.7068,444116.3045
서울특별시 강남구 논현동 166-2번지 지상1층 ,서울특별시 강남구 강남대로122길 14 (논현동지상1층),울트라멘,202082.1613,445071.4732
서울특별시 강남구 청담동 123-21번지 ,서울특별시 강남구 도산대로89길 19-4 2층 (청담동),마고꼬로,204435.2322,447080.11
서울특별시 강남구 삼성동 166-6번지 ,서울특별시 강남구 봉은사로114길 42 (삼성동),미스터 돌쇠,205707.361,445550.6027
서울특별시 강남구 대치동 911-13번지 .지상1층 ,서울특별시 강남구 역삼로 452 (대치동.지상1층),행복,204941.0495,444443.7978
서울특별시 강남구 신사동 515-12 ,서울특별시 강남구 강남대로152길 29 (신사동),촌,201850.3676,446186.9557
서울특별시 강남구 청담동 132-3번지 청담상가 1층8호 ,서울특별시 강남구 학동로101길 33 (청담동청담상가 1층8호),월풍월,204939.3861,446688.3029
