,지번주소,도로명주소,사업장명,위도,경도
74,서울특별시 강남구 신사동 654-14번지 지상1층 ,서울특별시 강남구 도산대로51길 18 (신사동지상1층),이자카야 인 뉴욕,37.524310185700955,127.03511873909254
75,서울특별시 강남구 삼성동 152-54번지 지하1층 ,서울특별시 강남구 삼성로104길 16 (삼성동지하1층),쿠시일오이,37.51096423268306,127.053219131471
76,서울특별시 강남구 도곡동 414-6번지 ,서울특별시 강남구 논현로34길 20 1층 102호 (도곡동),수닭도리,37.484549504139814,127.04073985145035
77,서울특별시 강남구 역삼동 738-18 ,서울특별시 강남구 논현로85길 5-15 지상1층 (역삼동),센도수산,37.498363840675545,127.03387786459858
78,서울특별시 강남구 대치동 894-5 한정빌딩지상1층104호 ,서울특별시 강남구 삼성로81길 22 (대치동한정빌딩지상1층104호),고운님 한우곱창,37.50434073291396,127.05297991069024
79,서울특별시 강남구 역삼동 831-3 지하1층 ,서울특별시 강남구 강남대로78길 8 지하1층 (역삼동 한국빌딩),이자카야나무(강남역2호점),37.494787906406366,127.02717668905973
80,서울특별시 강남구 도곡동 957-1번지 지상1층 ,서울특별시 강남구 강남대로42길 16 (도곡동지상1층),타이쇼 난지당,37.48525824022358,127.03232067612112
81,서울특별시 강남구 신사동 512-9 MG타워,서울특별시 강남구 압구정로2길 60 MG타워 지상2층 201호 (신사동),신사연어(신사살몬),37.517953883383015,127.01840214694448
82,서울특별시 강남구 신사동 584-1 유림아트홀 ,서울특별시 강남구 압구정로28길 49 유림아트홀 지상1층 109호110호 (신사동),로바타 탄요,37.523292649926695,127.02480285889436
83,서울특별시 강남구 신사동 539번지 ,서울특별시 강남구 도산대로15길 6 지상1층 (신사동),와라야키 쿠이신보,37.51860297131909,127.02124114644214
84,서울특별시 강남구 도곡동 538-1번지 ,서울특별시 강남구 선릉로 227 지하2호 (도곡동 진달래상가),츄잇,37.495832492220636,127.0498389392454
85,서울특별시 강남구 신사동 657-40 ,서울특별시 강남구 선릉로157길 13-5 101호 (신사동),야키토리(Yakitori)파노,37.52565916562476,127.03575612022917
86,서울특별시 강남구 논현동 4-7번지 지상1층 ,서울특별시 강남구 도산대로8길 7 (논현동지상1층),신사뻘낙지,37.51652187797557,127.01934336651655
87,서울특별시 강남구 신사동 508-6 홍인빌딩 지상1층 101호,서울특별시 강남구 강남대로158길 21 지상1층 101호 (신사동 홍인빌딩),타츠야,37.51928880168523,127.01761080805534
88,서울특별시 강남구 도곡동 943-5번지 지하1층 ,서울특별시 강남구 강남대로58길 11 (도곡동지하1층),센스,37.48947736351399,127.03010151299574
89,서울특별시 강남구 개포동 1237-16번지 ,서울특별시 강남구 논현로18길 15 지상1층 101호 (개포동),심야오뎅,37.47799354827832,127.04333411262559
90,서울특별시 강남구 신사동 521-1번지 ,서울특별시 강남구 압구정로2길 29 1층 (신사동),우오하나,37.51989010454653,127.01753824088979
91,서울특별시 강남구 역삼동 831-3 지하1층 ,서울특별시 강남구 강남대로78길 8 지하1층 (역삼동 한국빌딩),이자카야나무(강남역2호점),37.494787906406366,127.02717668905973
92,서울특별시 강남구 대치동 944-25번지 ,서울특별시 강남구 영동대로85길 38 지하1층 (대치동),하레이자카야,37.50663634337098,127.05767564713805
93,서울특별시 강남구 도곡동 417번지 지상2층 ,서울특별시 강남구 논현로38길 36 지상2층 (도곡동),코지로,37.485462493322146,127.0418195897286
94,서울특별시 강남구 신사동 657-40 ,서울특별시 강남구 선릉로157길 13-5 101호 (신사동),야키토리(Yakitori)파노,37.52565916562476,127.03575612022917
95,서울특별시 강남구 신사동 657-20번지 ,서울특별시 강남구 선릉로157길 21 지하1층 (신사동),이노,37.52605640125609,127.03524347724068
96,서울특별시 강남구 도곡동 419-0 ,서울특별시 강남구 남부순환로378길 8 (도곡동),하루,37.48573799437093,127.04268775163395
97,서울특별시 강남구 신사동 536-1번지 지상5층 ,서울특별시 강남구 도산대로11길 22 (신사동지상5층),모르나,37.51887745593814,127.01977816257126
98,서울특별시 강남구 역삼동 690-11번지 ,서울특별시 강남구 봉은사로44길 61 1층 (역삼동),연 YEON,37.50577949895348,127.03951204379841
99,서울특별시 강남구 신사동 540-21번지 ,서울특별시 강남구 강남대로152길 63 지하1지상1층 (신사동),켄카,37.51893471394821,127.02133738039475
100,서울특별시 강남구 신사동 521-3번지 ,서울특별시 강남구 강남대로160길 23 1층 101호 (신사동),교텐,37.51986165336463,127.0177591770952
101,서울특별시 강남구 신사동 654-18번지 ,서울특별시 강남구 도산대로51길 22 지상4층 (신사동),도산소반,37.5244980078159,127.03509604140574
102,서울특별시 강남구 청담동 123-44 ,서울특별시 강남구 압구정로79길 35 (청담동),청담이상 본점,37.52545448585997,127.04722591964638
103,서울특별시 강남구 논현동 97-8 ,서울특별시 강남구 언주로150길 24 1층 (논현동),모토이시 도산공원점,37.52130827807922,127.0333421870175
104,서울특별시 강남구 도곡동 417-12 ,서울특별시 강남구 논현로38길 34 지상2층 (도곡동),키노에다,37.48541778941587,127.04160915136019
105,서울특별시 강남구 청담동 22-11 K2빌딩 ,서울특별시 강남구 도산대로58길 12 K2빌딩 지상2층 (청담동),청담류 더 퍼스트 이자카야(청담류 The First Izakaya),37.522542185123406,127.03832687864312
106,서울특별시 강남구 청담동 22-11 K2빌딩 ,서울특별시 강남구 도산대로58길 12 K2빌딩 지상2층 (청담동),청담류 더 퍼스트 이자카야(청담류 The First Izakaya),37.522542185123406,127.03832687864312
107,서울특별시 강남구 대치동 901-77번지 ,서울특별시 강남구 삼성로75길 26 1층 102호 (대치동),구십구 구(99 9),37.5031633171601,127.05321734285002
108,서울특별시 강남구 수서동 502-1번지 ,서울특별시 강남구 광평로 220 (수서동),한단고기,37.4847077320372,127.09417720658722
